kaba,tîz,2,3,kesir,oran,aralık,koma,koma oran,fark,tempere,fark
kaba çârgâh,çârgâh,0,0,1 / 1,1.0,0,0,1.0,0.0,1.0,0.0
kaba nîm hicâz,nîm hicâz,8,-5,256 / 243,1.0534979423868314,4,4,1.0537054952030231,0.0001970130247446189,"",""
kaba hicâz,hicâz,-11,7,2187 / 2048,1.06787109375,1,5,1.0675766250480145,-0.0002757530414568832,1.0594630943592953,-0.007873608940175192
kaba dik hicâz,dik hicâz,16,-10,65536 / 59049,1.1098579146132872,3,8,1.1102952706210483,0.0003940648636213684,"",""
yegâh,nevâ,-3,2,9 / 8,1.125,1,9,1.1249113563633903,-7.87943436529881e-05,1.122462048309373,-0.002255957058335145
kaba nîm hisar,nîm hisâr,5,-3,32 / 27,1.1851851851851851,4,13,1.1853252778163907,0.00011820315757971045,1.1892071150027212,0.003393503283546151
kaba hisar,hisâr,-14,9,19683 / 16384,1.20135498046875,1,14,1.2009290693046124,-0.0003545256573301847,"",""
kaba dik hisar,dik hisâr,13,-8,8192 / 6561,1.2485901539399482,3,17,1.248983758838181,0.0003152394698857641,"",""
hüseynî aşîrân,hüseynî,-6,4,81 / 64,1.265625,1,18,1.2654255596753226,-0.00015758247875752307,1.2599210498948734,-0.004506824774420992
acem aşîrân,acem,2,-1,4 / 3,1.3333333333333333,4,22,1.3333858660002484,3.9399500186387826e-05,1.3348398541700346,0.001129890627526109
dik acem aşîrân ,dik acem,-17,11,177147 / 131072,1.3515243530273438,1,23,1.3509387482476756,-0.000433292066366775,"",""
ırak,eviç,10,-6,1024 / 729,1.4046639231824416,3,26,1.4049960142305038,0.0002364202871458776,"",""
geveşt,mâhûr,-9,6,729 / 512,1.423828125,1,27,1.4234915827112693,-0.00023636440580265816,1.4142135623730954,-0.0067526146295955325
dik geveşt,dik mâhûr,18,-11,262144 / 177147,1.4798105528177163,3,30,1.4804520209330267,0.00043347988976627505,"",""
râst,gerdâniye,-1,1,3 / 2,1.5,1,31,1.4999409030781132,-3.939794792451323e-05,1.498307076876682,-0.0011286154155453199
nîm zîrgûle,nîm şehnâz,7,-4,128 / 81,1.5802469135802468,4,35,1.5804959720531933,0.00015760731491143432,1.5874010519682,0.004527228198626609
zîrgûle,şehnâz,-12,8,6561 / 4096,1.601806640625,1,36,1.601301847079603,-0.00031514012527755764,"",""
dik zîrgûle,dik şehnâz,15,-9,32768 / 19683,1.6647868719199308,3,39,1.6653772908986935,0.00035465139034984716,"",""
dügâh,muhayyer,-4,3,27 / 16,1.6875,1,40,1.687300555746529,-0.00011818918724204597,1.6817928305074297,-0.0033820263659676275
kürdî,sünbüle,4,-2,16 / 9,1.7777777777777777,4,44,1.7779178676492324,7.880055269327002e-05,1.7817974362806794,0.0022610579078823356
dik kürdî,dik sünbüle,-15,10,59049 / 32768,1.802032470703125,1,45,1.8013226327455185,-0.00039390963767127474,"",""
segâh,tîz segâh,12,-7,4096 / 2187,1.8728852309099222,3,48,1.8734018271616377,0.0002758291021733861,"",""
bûselik,tîz bûselik,-7,5,243 / 128,1.8984375,1,49,1.8980635567575301,-0.0001969742182557077,1.887748625363388,-0.005630353718050762
dik bûselik,tîz dik bûselik,20,-12,1048576 / 531441,1.9730807370902885,3,52,1.9740138000036018,0.000472896468843631,"",""
çârgâh,tîz çârgâh,1,0,2 / 1,2.0,1,53,2.000000000000005,2.4424906541753444e-15,2.000000000000001,4.440892098500626e-16
